iter	Passed	Remaining
604	914	597
605	915	595
606	916	593
607	955	616
608	958	615
609	960	613
610	961	612
611	963	610
612	964	609
613	966	607
614	968	606
615	969	604
616	972	603
617	974	602
618	976	600
619	977	599
620	980	598
621	981	596
622	983	594
623	984	593
624	986	591
625	988	590
626	990	588
627	991	587
628	993	585
629	994	584
630	996	582
631	1009	587
632	1011	586
633	1012	584
634	1013	582
635	1014	580
636	1015	578
637	1016	576
638	1018	575
639	1019	573
640	1021	571
641	1022	570
642	1023	568
643	1024	566
644	1025	564
645	1046	573
646	1050	573
647	1052	571
648	1053	569
649	1054	567
650	1055	566
651	1056	564
652	1058	562
653	1059	560
654	1060	558
655	1061	556
656	1062	554
657	1063	552
658	1065	551
659	1066	549
660	1067	547
661	1068	545
662	1069	543
663	1070	541
664	1071	539
665	1072	538
666	1073	536
667	1074	534
668	1075	532
669	1077	530
670	1078	528
671	1079	526
672	1080	524
673	1081	522
674	1082	521
675	1082	519
676	1083	517
677	1084	515
678	1085	513
679	1086	511
680	1087	509
681	1088	507
682	1089	505
683	1089	503
684	1090	501
685	1091	499
686	1092	497
687	1093	495
688	1094	494
689	1095	492
690	1096	490
691	1097	488
692	1098	486
693	1099	484
694	1100	482
695	1101	480
696	1101	479
697	1102	477
698	1103	475
699	1104	473
700	1105	471
701	1106	469
702	1106	467
703	1107	465
704	1109	464
705	1110	462
706	1110	460
707	1111	458
708	1112	456
709	1113	454
710	1114	452
711	1114	450
712	1115	449
713	1116	447
714	1117	445
715	1118	443
716	1118	441
717	1119	439
718	1120	437
719	1121	436
720	1122	434
721	1122	432
722	1123	430
723	1124	428
724	1125	426
725	1126	425
726	1127	423
727	1128	421
728	1128	419
729	1129	417
730	1130	415
731	1131	414
732	1132	412
733	1132	410
734	1133	408
735	1134	406
736	1135	405
737	1136	403
738	1136	401
739	1137	399
740	1138	398
741	1139	396
742	1140	394
743	1141	392
744	1141	390
745	1142	389
746	1143	387
747	1144	385
748	1145	383
749	1145	381
750	1146	380
751	1147	378
752	1148	376
753	1148	374
754	1149	373
755	1150	371
756	1151	369
757	1151	367
758	1152	366
759	1153	364
760	1154	362
761	1155	360
762	1156	359
763	1157	357
764	1157	355
765	1158	354
766	1159	352
767	1160	350
768	1161	348
769	1161	347
770	1162	345
771	1163	343
772	1164	341
773	1165	340
774	1165	338
775	1166	336
776	1167	335
777	1168	333
778	1169	331
779	1170	330
780	1171	328
781	1172	326
782	1172	325
783	1173	323
784	1174	321
785	1175	319
786	1175	318
787	1176	316
788	1177	314
789	1178	313
790	1179	311
791	1179	309
792	1180	308
793	1181	306
794	1182	304
795	1183	303
796	1184	301
797	1185	300
798	1186	298
799	1187	296
800	1187	295
801	1188	293
802	1189	291
803	1190	290
804	1191	288
805	1191	286
806	1192	285
807	1193	283
808	1194	281
809	1195	280
810	1195	278
811	1196	277
812	1197	275
813	1198	273
814	1199	272
815	1199	270
816	1200	268
817	1201	267
818	1202	265
819	1202	264
820	1203	262
821	1204	260
822	1205	259
823	1206	257
824	1206	255
825	1207	254
826	1208	252
827	1209	251
828	1210	249
829	1210	248
830	1211	246
831	1212	244
832	1213	243
833	1214	241
834	1215	240
835	1215	238
836	1216	236
837	1217	235
838	1218	233
839	1218	232
840	1219	230
841	1220	229
842	1221	227
843	1222	225
844	1222	224
845	1223	222
846	1224	221
847	1225	219
848	1226	218
849	1227	216
850	1228	215
851	1229	213
852	1230	212
853	1231	210
854	1231	208
855	1232	207
856	1233	205
857	1234	204
858	1235	202
859	1235	201
860	1236	199
861	1237	198
862	1238	196
863	1239	195
864	1239	193
865	1240	191
866	1241	190
867	1242	188
868	1242	187
869	1243	185
870	1244	184
871	1245	182
872	1246	181
873	1247	179
874	1247	178
875	1248	176
876	1249	175
877	1250	173
878	1251	172
879	1251	170
880	1252	169
881	1253	167
882	1254	166
883	1254	164
884	1255	163
885	1256	161
886	1257	160
887	1258	158
888	1259	157
889	1260	155
890	1260	154
891	1261	152
892	1262	151
893	1263	149
894	1264	148
895	1264	146
896	1265	145
897	1266	143
898	1267	142
899	1268	140
900	1268	139
901	1269	137
902	1270	136
903	1271	134
904	1271	133
905	1272	132
906	1273	130
907	1274	129
908	1275	127
909	1276	126
910	1276	124
911	1277	123
912	1278	121
913	1279	120
914	1280	118
915	1280	117
916	1281	116
917	1282	114
918	1283	113
919	1283	111
920	1284	110
921	1285	108
922	1286	107
923	1286	105
924	1288	104
925	1288	103
926	1289	101
927	1290	100
928	1291	98
929	1292	97
930	1292	95
931	1293	94
932	1294	92
933	1295	91
934	1295	90
935	1296	88
936	1297	87
937	1298	85
938	1299	84
939	1299	82
940	1300	81
941	1301	80
942	1302	78
943	1303	77
944	1304	75
945	1304	74
946	1305	73
947	1306	71
948	1307	70
949	1307	68
950	1308	67
951	1309	66
952	1310	64
953	1311	63
954	1311	61
955	1312	60
956	1313	59
957	1314	57
958	1315	56
959	1315	54
960	1316	53
961	1317	52
962	1318	50
963	1319	49
964	1319	47
965	1320	46
966	1321	45
967	1322	43
968	1323	42
969	1323	40
970	1324	39
971	1325	38
972	1326	36
973	1326	35
974	1327	34
975	1328	32
976	1329	31
977	1330	29
978	1330	28
979	1331	27
980	1332	25
981	1333	24
982	1334	23
983	1335	21
984	1336	20
985	1336	18
986	1337	17
987	1338	16
988	1339	14
989	1340	13
990	1340	12
991	1341	10
992	1342	9
993	1343	8
994	1343	6
995	1344	5
996	1345	4
997	1346	2
998	1347	1
999	1348	0
